0.06|0|0|0|0|0|0|
0.06|-1.96|0|0|0|0|0|
0.06|-1.96|-4.47035e-10|0.52|0.06|-1.62|0|
0.06|-1.96|-4.47035e-10|-0.52|0.2|-7.89762e-09|-1.64|
0.06|-1.96|-4.47035e-10|0.52|0.06|-1.62|0|
0.06|-1.96|-4.47035e-10|-0.52|0.2|-7.89762e-09|-1.64|
0.06|-1.96|-4.47035e-10|0.52|0.06|-1.62|0|
0.06|-1.96|-4.47035e-10|-0.52|0.2|-7.89762e-09|-1.64|
0.06|-1.96|-4.47035e-10|0.52|0.06|-1.62|0|
0.06|-1.96|-4.47035e-10|-0.52|0.2|-7.89762e-09|-1.64|
0.06|-1.96|-4.47035e-10|0.52|0.06|-1.62|0|
0.06|-1.96|-4.47035e-10|-0.52|0.2|-7.89762e-09|-1.64|
0.06|-1.96|-4.47035e-10|0.52|0.06|-1.62|0|
0.06|-1.96|-4.47035e-10|-0.52|0.2|-7.89762e-09|-1.64|
0.06|-1.96|-4.47035e-10|0.52|0.06|-1.62|0|
0.06|-1.96|-4.47035e-10|-0.52|0.2|-7.89762e-09|-1.64|
0.06|-1.96|-4.47035e-10|0.52|0.06|-1.62|0|
0.06|-1.96|-4.47035e-10|-0.52|0.2|-7.89762e-09|-1.64|
0.06|-1.96|-4.47035e-10|0.52|0.06|-1.62|0|
0.06|-1.96|-4.47035e-10|-0.52|0.2|-7.89762e-09|-1.64|
0.06|-2.5|0|0|0|0|0|
0.06|-1.3|0|0|0|0|0|
0.06|-2.5|0|0|0|0|0|
0.06|-1.3|0|0|0|0|0|
0.06|-1.96|0|0|0|0|0|
0.06|-1.96|-4.47035e-10|-1.96|0.2|-1.62|-1.64|
0.06|-1.96|-4.47035e-10|-1.96|0.2|-1.62|-1.64|
0.06|-1.96|-4.47035e-10|-1.96|0.2|-1.62|-1.64|
0.06|-1.96|-4.47035e-10|-1.96|0.2|-1.62|-1.64|
0.06|-1.96|-4.47035e-10|-1.96|0.2|-1.62|-1.64|
0.06|-1.96|-4.47035e-10|-1.96|0.2|-1.62|-1.64|
0.06|-1.96|-4.47035e-10|-1.96|0.2|-1.62|-1.64|
0.06|0|0|0|0|0|0|
0.06|0|0|0|0|0|0|
0.06|0|0|0|0|0|0|
0.06|0|0|0|0|0|0|
0.06|0|0|0|0|0|0|
0.06|0|0|0|0|0|0|
